product_id,manufacturer_name,quantity_in_stock,supplier_contact,last_stock_update,price_per_unit,category,location_in_warehouse,reorder_threshold
1,TechSavvy,312,969-870-6045,08/11/2023,704.69,Clothing,C3,4
2,ElecTronix,369,488-811-9502,01/12/2023,391.26,Home decor,C3,20
3,GadgetMaster,329,984-165-4238,4/25/2023,175.01,Electronics,D4,28
4,TechGenius,96,403-329-7005,2/13/2023,555.44,Electronics,D4,40
5,GadgetMaster,951,267-750-5319,03/10/2023,316.8,Food,D4,65
6,SmartTech,312,196-283-7176,2/26/2023,311.21,Home decor,B2,71
7,ElecTronix,341,595-394-2356,6/19/2023,929.17,Home decor,A1,46
8,SmartTech,102,508-108-8110,8/23/2023,292.69,Electronics,D4,17
9,ElecTronix,325,656-967-4305,08/12/2023,407.44,Clothing,A1,97
10,TechPro,869,160-201-3134,5/25/2023,389.4,Clothing,D4,51
11,DigitalWiz,88,341-218-8295,03/09/2023,939.45,Electronics,B2,97
12,ElectroTech,752,440-956-1213,09/11/2023,276.87,Electronics,B2,66
13,DigitalWiz,694,944-453-4887,06/01/2023,671.73,Electronics,A1,11
14,DigitalWiz,117,526-210-9648,04/01/2023,602.27,Electronics,D4,95
15,DigitalWiz,522,428-981-9422,06/08/2023,61.32,Electronics,B2,40
16,TechSavvy,517,553-987-7133,05/12/2023,170.09,Clothing,B2,93
17,TechSavvy,890,955-560-7512,3/25/2023,321.07,Electronics,B2,40
18,TechGenius,2,556-752-1894,9/21/2023,352.67,Home decor,C3,98
19,ElectroWorld,604,543-188-3708,3/15/2023,583.07,Food,C3,0
20,ElectroWorld,76,419-301-5543,9/17/2023,896.35,Electronics,C3,96
21,ElectroWorld,605,674-495-5470,9/16/2023,855.08,Electronics,B2,55
22,GadgetMaster,618,917-520-3858,9/16/2023,477.93,Food,D4,62
23,ElectroWorld,885,995-369-3520,03/11/2023,875.1,Home decor,B2,88
24,TechPro,310,707-769-5677,9/25/2023,473.59,Home decor,B2,68
